canoffo,marioni,via saturno,siena,48,nettuno
tonio,palazzi,via saturno,firenze,67,urano
maolino,lucenti,via del signore,siena,70,marte
giovanni,bocchini,via giotto,teramo,64,nettuno
tonello,bocchini,via viola,todi,45,giove
giovanni,panasoni,piazza del popolo,siena,38,urano
mariobeppe,palazzi,piazza del popolo,milano,25,venere
beppe,marioni,piazza santa,poppi,23,mercurio
osvaldo,panasoni,via campo di marte,firenze,52,terra
mariobeppe,lucenti,piazza partigiani,perugia,18,nettuno
tonio,marioni,via viola,poppi,41,nettuno
